,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,34300,43723,8,8,16,rectangle,multimat-right-work-distribution,8_8_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,34391,43612,8,8,16,triangle,multimat-right-work-distribution,8_8_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7086,211717,4,1,1,rectangle,multimat-right-work-distribution,4_1_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,6589,227645,4,1,1,triangle,multimat-right-work-distribution,4_1_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7824,191684,4,1,4,rectangle,multimat-right-work-distribution,4_1_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7039,213076,4,1,4,triangle,multimat-right-work-distribution,4_1_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10270,146013,4,1,8,rectangle,multimat-right-work-distribution,4_1_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9857,152159,4,1,8,triangle,multimat-right-work-distribution,4_1_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,15696,95565,4,1,16,rectangle,multimat-right-work-distribution,4_1_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,15489,96838,4,1,16,triangle,multimat-right-work-distribution,4_1_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,6426,233479,4,2,1,rectangle,multimat-right-work-distribution,4_2_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,5783,259361,4,2,1,triangle,multimat-right-work-distribution,4_2_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7500,199985,4,2,4,rectangle,multimat-right-work-distribution,4_2_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,6818,220404,4,2,4,triangle,multimat-right-work-distribution,4_2_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9853,152222,4,2,8,rectangle,multimat-right-work-distribution,4_2_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
