,Kernel,Kernel_iterations,warps_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,549779,273,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
2,549136,274,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
3,549816,273,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
4,549177,274,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
5,549756,273,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
6,549133,274,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
7,549771,273,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
8,549084,274,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
9,549775,273,8,basic,8,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one_saturated
0,1660409,81,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1658338,87,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1661428,88,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1658468,92,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1662159,89,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1657900,92,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1658712,92,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1655796,87,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1659318,91,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,1660474,88,4,basic,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,1801296,76,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1800870,83,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1800981,83,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1801117,83,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1801216,83,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1800771,83,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1800944,83,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1801166,83,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1801092,83,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,1801030,83,8,basic,8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,4192694,35,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
1,4201813,36,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
2,4219989,36,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
3,4201238,35,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
4,4186195,37,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
5,4189588,38,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
6,4168021,39,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
7,4177948,36,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
8,4157952,38,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
9,4177920,35,4,basic,4,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
0,4315508,33,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
1,4326136,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
2,4311921,36,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
3,4310630,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
4,4297045,36,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
5,4328078,36,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
6,4310747,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
7,4334387,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
8,4327570,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
9,4318763,35,8,basic,8,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one_saturated
