,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,5345402,25,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,5344804,28,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,5344767,28,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,5345024,28,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,5344987,28,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,5344914,28,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,5345280,28,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,5345097,28,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,5344987,28,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,5345060,28,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,3631796,34,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,3644815,41,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,3660874,41,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,3648437,41,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,3648412,41,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,3644491,41,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,3661424,41,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,3654805,41,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,3647787,41,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,3652033,41,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,2748635,42,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,2767587,54,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,2776177,54,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,2772176,54,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,2770162,55,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,2778737,54,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,2771837,55,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,2777404,55,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,2773162,54,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,2775969,54,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,2371029,48,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,2384668,63,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,2391300,63,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,2387074,63,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,2386310,63,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,2397102,63,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,2391641,63,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,2393917,63,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,2397415,62,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
