,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,274676,549,4,4,1,2,multimat-right-multirow-both,4_1_4_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,257864,586,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,258449,581,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,258532,583,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,259216,582,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,259404,579,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,260961,575,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,260626,575,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,259915,578,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,259815,576,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,259994,578,4,4,1,4,multimat-right-multirow-both,4_1_4_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,388524,387,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,391247,384,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,390720,384,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,391091,383,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,391085,384,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,390717,384,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,390713,384,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,390730,384,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,390709,384,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,390738,384,4,1,2,1,multimat-right-multirow-both,4_2_1_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,388663,386,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,389739,387,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,390610,384,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,390818,384,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,391299,383,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,390598,385,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,391095,383,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
