,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
8,4933,304504,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,4933,304561,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,8139,184268,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,8139,184397,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,8139,184399,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,8139,184397,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,8139,184394,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,8139,184392,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,8139,184399,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,8139,184392,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,8139,184406,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,8139,184399,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,8392,178703,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,8392,178852,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,8392,178834,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,8392,178843,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,8392,178843,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,8392,178830,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,8392,178823,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,8392,178834,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,8392,178832,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,8392,178836,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,13461,111451,4,1,2,8,rectangle,multimat-both-work-distribution,4_1_2_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,13460,111459,4,1,2,8,rectangle,multimat-both-work-distribution,4_1_2_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,13459,111491,4,1,2,8,rectangle,multimat-both-work-distribution,4_1_2_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,13458,111504,4,1,2,8,rectangle,multimat-both-work-distribution,4_1_2_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,13461,111480,4,1,2,8,rectangle,multimat-both-work-distribution,4_1_2_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,13460,111479,4,1,2,8,rectangle,multimat-both-work-distribution,4_1_2_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,13459,111492,4,1,2,8,rectangle,multimat-both-work-distribution,4_1_2_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,13464,111474,4,1,2,8,rectangle,multimat-both-work-distribution,4_1_2_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,13461,111445,4,1,2,8,rectangle,multimat-both-work-distribution,4_1_2_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,13462,111495,4,1,2,8,rectangle,multimat-both-work-distribution,4_1_2_8_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,13474,111322,4,1,2,8,triangle,multimat-both-work-distribution,4_1_2_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,13474,111360,4,1,2,8,triangle,multimat-both-work-distribution,4_1_2_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
