,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,290239,5158,8,16,rectangle,basic-work_distribution,8_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,287551,5194,8,16,triangle,basic-work_distribution,8_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1065161,1422,4,1,rectangle,basic-work_distribution,4_1_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1062626,1425,4,1,triangle,basic-work_distribution,4_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1037509,1446,4,2,rectangle,basic-work_distribution,4_2_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1035320,1448,4,2,triangle,basic-work_distribution,4_2_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1037615,1446,4,4,rectangle,basic-work_distribution,4_4_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1036529,1447,4,4,triangle,basic-work_distribution,4_4_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1055143,1423,4,8,rectangle,basic-work_distribution,4_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1053511,1424,4,8,triangle,basic-work_distribution,4_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1096198,1368,4,16,rectangle,basic-work_distribution,4_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1092700,1373,4,16,triangle,basic-work_distribution,4_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1069803,1416,8,1,rectangle,basic-work_distribution,8_1_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1065681,1424,8,1,triangle,basic-work_distribution,8_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1040067,1442,8,2,rectangle,basic-work_distribution,8_2_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1038050,1445,8,2,triangle,basic-work_distribution,8_2_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1041831,1439,8,4,rectangle,basic-work_distribution,8_4_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1040652,1441,8,4,triangle,basic-work_distribution,8_4_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1064063,1408,8,8,rectangle,basic-work_distribution,8_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1063171,1411,8,8,triangle,basic-work_distribution,8_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
