,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,61181,24520,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,62775,23897,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,970789,1545,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,1041161,1440,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,982797,1526,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,268007,5590,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,276957,5411,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,211772,7074,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,224170,6683,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,991135,1514,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,264894,5655,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,279802,5356,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,216589,6910,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,227492,6586,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,1043182,1438,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,1082526,1386,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,279791,5353,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,291853,5135,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,223829,6693,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,234212,6395,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,2783511,539,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,2625867,572,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,745595,2011,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,759432,1975,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,605750,2475,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,632465,2371,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,2583996,581,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,2647341,567,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,730947,2051,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,764876,1961,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,607543,2467,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,637163,2354,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,2755798,545,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,2866328,524,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,757586,1979,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,791497,1895,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,622008,2411,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
