,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
2,574163,262,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
3,574217,262,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
4,574284,262,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
5,574170,262,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
6,574237,262,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
7,574170,262,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
8,574123,262,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
9,574166,262,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,2156863,64,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
1,2156573,69,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
2,2156662,69,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
3,2156618,69,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
4,2156529,69,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
5,2156707,69,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
6,2156573,69,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
7,2156647,69,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
8,2156633,69,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
9,2156781,69,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2161375,64,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
1,2161426,69,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
2,2161248,69,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
3,2161278,69,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
4,2161233,69,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
5,2161367,69,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
6,2161322,69,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
7,2161337,69,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
8,2161471,69,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
9,2161218,69,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2162640,64,32,warp-per-shift-simple-indexing,32,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
1,2162524,69,32,warp-per-shift-simple-indexing,32,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
2,2162480,69,32,warp-per-shift-simple-indexing,32,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
3,2162465,69,32,warp-per-shift-simple-indexing,32,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
