,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
4,19122,78427,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,19120,78433,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,19121,78431,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,19120,78416,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,19122,78424,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,19118,78426,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,25759,58067,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,25758,58208,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,25757,58221,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,25756,58210,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,25758,58220,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,25757,58217,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,25757,58212,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,25758,58217,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,25757,58218,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,25758,58216,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,29481,50816,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,29479,50872,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,29479,50875,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,29478,50873,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,29478,50876,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,29477,50869,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,29478,50873,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,29480,50873,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,29478,50874,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,29479,50875,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,20622,72728,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,20612,72772,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,20613,72764,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,20611,72764,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,20612,72749,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,20618,72764,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,20623,72769,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,20616,72750,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,20612,72765,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,20618,72758,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,33804,44375,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,33803,44373,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,33801,44371,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,33802,44375,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,33802,44383,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,33801,44377,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,33801,44372,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,33802,44374,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,33801,44377,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,33803,44374,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,56923,26346,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,56924,26351,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,56923,26352,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,56923,26351,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,56922,26351,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,56924,26352,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,56924,26350,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
