,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,13176,113778,4,4,4,triangle,multimat-right-work-distribution,4_4_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22252,66693,4,4,8,rectangle,multimat-right-work-distribution,4_4_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22190,66918,4,4,8,triangle,multimat-right-work-distribution,4_4_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,40364,36922,4,4,16,rectangle,multimat-right-work-distribution,4_4_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,40247,37046,4,4,16,triangle,multimat-right-work-distribution,4_4_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7981,187474,4,8,1,rectangle,multimat-right-work-distribution,4_8_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7877,190443,4,8,1,triangle,multimat-right-work-distribution,4_8_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17814,84198,4,8,4,rectangle,multimat-right-work-distribution,4_8_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,18023,83180,4,8,4,triangle,multimat-right-work-distribution,4_8_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,31520,47282,4,8,8,rectangle,multimat-right-work-distribution,4_8_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,31560,47222,4,8,8,triangle,multimat-right-work-distribution,4_8_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,58900,25346,4,8,16,rectangle,multimat-right-work-distribution,4_8_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,59074,25303,4,8,16,triangle,multimat-right-work-distribution,4_8_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7265,206343,8,1,1,rectangle,multimat-right-work-distribution,8_1_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7292,205538,8,1,1,triangle,multimat-right-work-distribution,8_1_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8454,177145,8,1,4,rectangle,multimat-right-work-distribution,8_1_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8393,178895,8,1,4,triangle,multimat-right-work-distribution,8_1_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,11916,125786,8,1,8,rectangle,multimat-right-work-distribution,8_1_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12020,124727,8,1,8,triangle,multimat-right-work-distribution,8_1_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,19394,77184,8,1,16,rectangle,multimat-right-work-distribution,8_1_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,19330,77502,8,1,16,triangle,multimat-right-work-distribution,8_1_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7543,198532,8,2,1,rectangle,multimat-right-work-distribution,8_2_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6460,232132,8,2,1,triangle,multimat-right-work-distribution,8_2_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9135,164248,8,2,4,rectangle,multimat-right-work-distribution,8_2_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9195,163142,8,2,4,triangle,multimat-right-work-distribution,8_2_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
