,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,26788,5568,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,26836,5557,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,26836,5585,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,26805,5597,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,26761,5605,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,26781,5606,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,26769,5595,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,26825,5588,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,26766,5574,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,45040,3320,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,45117,3321,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,45112,3312,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,45076,3324,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,45046,3331,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,45046,3322,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
