,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,17197,8700,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,17242,8711,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,17231,8697,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,17211,8723,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,17240,8688,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,17238,8704,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,17246,8678,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,17190,8708,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,17239,8719,4,1,2,4,20,multimat-right-multirow-both,4_2_1_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,21474,6982,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,21473,6971,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,21490,6973,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,21484,6970,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,21498,6949,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,21489,6949,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,21502,6975,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,21491,6956,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,21489,6982,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,21480,6970,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,22438,6684,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,22438,6691,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,22471,6674,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,22462,6679,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,22461,6670,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,22466,6682,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,22469,6666,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,22467,6680,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,22451,6678,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,22454,6666,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,18403,8153,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,18412,8169,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,18425,8154,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,18421,8135,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,18426,8146,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,18410,8150,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,18445,8114,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,18432,8141,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,18413,8149,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,18420,8105,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,25633,5846,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,25636,5852,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,25712,5823,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,25669,5829,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,25645,5833,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,25648,5832,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,25654,5847,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,25706,5833,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,25672,5839,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,25643,5836,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,37540,3995,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,37625,3996,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,37618,3977,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,37600,3998,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,37499,4001,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,37537,3995,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,37533,4001,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,37518,3997,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,37516,4004,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,37535,3997,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,18808,7971,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,18833,7968,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,18860,7935,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,18846,7950,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,18852,7954,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,18856,7955,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,18868,7948,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,18858,7944,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
