,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,11137,10000,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,11144,10000,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,11129,10000,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,11102,10000,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,11122,10000,4,2,4,triangle,20,multimat-right-work-distribution,4_2_4_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,13901,10000,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,13911,10000,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,13962,10000,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,13960,10000,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,13936,10000,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,13954,10000,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,13987,10000,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,13959,10000,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,13930,10000,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,13952,10000,4,2,8,rectangle,20,multimat-right-work-distribution,4_2_8_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,13890,10000,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,13914,10000,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,13958,10000,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,13973,10000,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,13935,10000,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,13969,10000,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,13956,10000,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,13977,10000,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,13917,10000,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,13972,10000,4,2,8,triangle,20,multimat-right-work-distribution,4_2_8_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,19235,7757,4,2,16,rectangle,20,multimat-right-work-distribution,4_2_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,19241,7774,4,2,16,rectangle,20,multimat-right-work-distribution,4_2_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,19278,7738,4,2,16,rectangle,20,multimat-right-work-distribution,4_2_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,19259,7757,4,2,16,rectangle,20,multimat-right-work-distribution,4_2_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,19251,7784,4,2,16,rectangle,20,multimat-right-work-distribution,4_2_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,19247,7781,4,2,16,rectangle,20,multimat-right-work-distribution,4_2_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,19303,7766,4,2,16,rectangle,20,multimat-right-work-distribution,4_2_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,19263,7785,4,2,16,rectangle,20,multimat-right-work-distribution,4_2_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,19255,7764,4,2,16,rectangle,20,multimat-right-work-distribution,4_2_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,19255,7768,4,2,16,rectangle,20,multimat-right-work-distribution,4_2_16_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,19417,7685,4,2,16,triangle,20,multimat-right-work-distribution,4_2_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,19424,7674,4,2,16,triangle,20,multimat-right-work-distribution,4_2_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,19455,7670,4,2,16,triangle,20,multimat-right-work-distribution,4_2_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,19455,7685,4,2,16,triangle,20,multimat-right-work-distribution,4_2_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,19447,7688,4,2,16,triangle,20,multimat-right-work-distribution,4_2_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,19445,7691,4,2,16,triangle,20,multimat-right-work-distribution,4_2_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,19455,7710,4,2,16,triangle,20,multimat-right-work-distribution,4_2_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,19435,7712,4,2,16,triangle,20,multimat-right-work-distribution,4_2_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,19435,7703,4,2,16,triangle,20,multimat-right-work-distribution,4_2_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,19434,7709,4,2,16,triangle,20,multimat-right-work-distribution,4_2_16_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,9324,16072,4,4,1,rectangle,20,multimat-right-work-distribution,4_4_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,9331,16075,4,4,1,rectangle,20,multimat-right-work-distribution,4_4_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,9363,16012,4,4,1,rectangle,20,multimat-right-work-distribution,4_4_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,9388,16000,4,4,1,rectangle,20,multimat-right-work-distribution,4_4_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,9358,16017,4,4,1,rectangle,20,multimat-right-work-distribution,4_4_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,9370,16004,4,4,1,rectangle,20,multimat-right-work-distribution,4_4_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,9396,15958,4,4,1,rectangle,20,multimat-right-work-distribution,4_4_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,9371,16004,4,4,1,rectangle,20,multimat-right-work-distribution,4_4_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,9372,16004,4,4,1,rectangle,20,multimat-right-work-distribution,4_4_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,9376,16007,4,4,1,rectangle,20,multimat-right-work-distribution,4_4_1_rectangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,9192,16299,4,4,1,triangle,20,multimat-right-work-distribution,4_4_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,9188,16297,4,4,1,triangle,20,multimat-right-work-distribution,4_4_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,9239,16204,4,4,1,triangle,20,multimat-right-work-distribution,4_4_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,9241,16222,4,4,1,triangle,20,multimat-right-work-distribution,4_4_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,9238,16244,4,4,1,triangle,20,multimat-right-work-distribution,4_4_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,9227,16243,4,4,1,triangle,20,multimat-right-work-distribution,4_4_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,9258,16197,4,4,1,triangle,20,multimat-right-work-distribution,4_4_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,9230,16237,4,4,1,triangle,20,multimat-right-work-distribution,4_4_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,9215,16272,4,4,1,triangle,20,multimat-right-work-distribution,4_4_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,9223,16256,4,4,1,triangle,20,multimat-right-work-distribution,4_4_1_triangle,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
