,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,2089439,718,4,4,1,1,none,multimat-both,4_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1189668,1267,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1191067,1268,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1190026,1267,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1190532,1265,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1191714,1268,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1190015,1268,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1190574,1268,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1191884,1268,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1190142,1268,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1190816,1258,4,4,2,1,none,multimat-both,4_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,792078,1943,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,791446,1926,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,792311,1921,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,791779,1914,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,792335,1924,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,792471,1913,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,792792,1927,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,792581,1923,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,792418,1918,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,793509,1916,4,4,4,1,none,multimat-both,4_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2753714,545,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2753735,545,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2753750,545,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2753738,545,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2753757,545,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2753738,545,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2753731,545,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2753723,545,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2753740,545,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2753714,545,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1861358,808,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1861348,808,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1861549,808,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1861118,808,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1861894,808,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1861043,808,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1861331,808,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1861913,808,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1861932,808,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1861317,808,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1417035,1067,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1416373,1063,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1417295,1065,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1417436,1060,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1418358,1059,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1417532,1059,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1417827,1063,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1417600,1060,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1418228,1063,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1417827,1059,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2316858,648,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
