,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,2542717,596,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2524245,621,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2545559,596,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2538751,604,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2547571,592,8,1,1,1,none,multimat-both,8_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1730426,920,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1792941,868,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1809140,843,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1772941,902,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1803770,864,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1834345,832,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1809998,870,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1862979,821,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1873671,817,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1869486,817,8,1,2,1,none,multimat-both,8_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1325433,1215,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1403866,1105,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1403911,1098,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1403866,1102,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1417118,1100,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1425094,1092,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1426919,1086,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1424018,1091,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1399137,1112,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1403757,1099,8,1,4,1,none,multimat-both,8_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2082218,747,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2122246,721,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2134264,717,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2126293,709,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2124074,716,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2124701,714,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2124147,716,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2127725,720,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2141592,705,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2131703,720,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1290308,1226,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1333947,1171,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1354651,1142,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1361243,1129,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1338232,1198,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1390823,1108,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1393600,1104,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
