,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,1379824,1085,4,2,triangle,basic-work_distribution,4_2_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1376106,1102,4,4,rectangle,basic-work_distribution,4_4_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1373587,1100,4,4,triangle,basic-work_distribution,4_4_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1377509,1076,4,8,rectangle,basic-work_distribution,4_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1371323,1097,4,8,triangle,basic-work_distribution,4_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1397591,1072,4,16,rectangle,basic-work_distribution,4_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1388796,1080,4,16,triangle,basic-work_distribution,4_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1448456,1042,8,1,rectangle,basic-work_distribution,8_1_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1439157,1054,8,1,triangle,basic-work_distribution,8_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1404498,1081,8,2,rectangle,basic-work_distribution,8_2_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1395400,1073,8,2,triangle,basic-work_distribution,8_2_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1380054,1094,8,4,rectangle,basic-work_distribution,8_4_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1375740,1097,8,4,triangle,basic-work_distribution,8_4_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1383888,1088,8,8,rectangle,basic-work_distribution,8_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1379324,1085,8,8,triangle,basic-work_distribution,8_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1404539,1065,8,16,rectangle,basic-work_distribution,8_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1403461,1071,8,16,triangle,basic-work_distribution,8_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,4323649,347,4,1,rectangle,basic-work_distribution,4_1_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4296619,351,4,1,triangle,basic-work_distribution,4_1_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4202233,359,4,2,rectangle,basic-work_distribution,4_2_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4181034,359,4,2,triangle,basic-work_distribution,4_2_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4120828,365,4,4,rectangle,basic-work_distribution,4_4_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4140879,365,4,4,triangle,basic-work_distribution,4_4_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4126262,365,4,8,rectangle,basic-work_distribution,4_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4116782,365,4,8,triangle,basic-work_distribution,4_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
