,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
2,4240,353879,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,4235,353973,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,4242,353247,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,4238,354067,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,4240,353939,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,4241,354727,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,4241,354616,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,4241,353213,4,1,2,1,rectangle,multimat-both-work-distribution,4_1_2_1_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,3861,388027,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,3865,386942,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,3857,388152,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,3853,388296,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,3865,388111,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,3859,386615,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,3860,387946,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,3862,387587,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,3868,387864,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,3862,388080,4,1,2,1,triangle,multimat-both-work-distribution,4_1_2_1_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,6861,218610,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,6864,218601,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,6873,218588,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,6861,218843,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,6871,218686,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,6876,218836,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,6862,218702,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,6864,218670,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,6864,218572,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,6859,218787,4,1,2,4,rectangle,multimat-both-work-distribution,4_1_2_4_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,7021,213556,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,7018,213890,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,7023,213622,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,7004,213793,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,7000,213662,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,7022,214165,4,1,2,4,triangle,multimat-both-work-distribution,4_1_2_4_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
