,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
3,27841,53877,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,27841,53881,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,27841,53881,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,27841,53871,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,27836,53880,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,27837,53889,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,27838,53889,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,20057,74790,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,20057,74782,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,20056,74790,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,20056,74788,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,20057,74786,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,20058,74778,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,20059,74780,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,20056,74779,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,20054,74797,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,20059,74784,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,18982,78999,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,18981,79006,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,18983,79019,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,18980,79011,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,18983,79026,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,18980,79027,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,18981,79016,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,18981,79027,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,18982,79025,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,18981,79012,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,32102,46723,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,32102,46725,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,32102,46726,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,32102,46725,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,32101,46727,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
