,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,2692223,560,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2692215,559,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2692224,559,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2692208,558,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2692209,558,4,1,1,2,1,multimat-both-multirow-both,4_1_2_1_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2864058,519,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2860960,524,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2860958,525,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2860936,524,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2861814,525,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2860872,525,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2860917,526,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2860982,526,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2860933,525,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2860909,525,4,1,1,2,2,multimat-both-multirow-both,4_1_2_1_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2871491,518,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2869631,523,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2869571,523,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2869563,523,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2869594,523,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2869629,523,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2869537,523,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2869533,523,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2869592,523,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2869584,523,4,1,1,2,4,multimat-both-multirow-both,4_1_2_1_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,2161950,721,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,2163880,697,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2163920,694,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2163885,698,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2163889,694,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2163907,698,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2163887,695,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2163895,694,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
