,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,1781435180,1,4,8,1,basic-multirow_both,4_8_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,1270526733,1,4,8,2,basic-multirow_both,4_8_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1262834594,1,4,8,2,basic-multirow_both,4_8_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1263513549,1,4,8,2,basic-multirow_both,4_8_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1264022583,1,4,8,2,basic-multirow_both,4_8_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1263356933,1,4,8,2,basic-multirow_both,4_8_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1264117675,1,4,8,2,basic-multirow_both,4_8_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1263751098,1,4,8,2,basic-multirow_both,4_8_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1263155151,1,4,8,2,basic-multirow_both,4_8_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1264147460,1,4,8,2,basic-multirow_both,4_8_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,1264255859,1,4,8,2,basic-multirow_both,4_8_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,1013180786,1,4,8,4,basic-multirow_both,4_8_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,1006321716,1,4,8,4,basic-multirow_both,4_8_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,1007296264,1,4,8,4,basic-multirow_both,4_8_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,1006168762,1,4,8,4,basic-multirow_both,4_8_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,1007213195,1,4,8,4,basic-multirow_both,4_8_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,1006114562,1,4,8,4,basic-multirow_both,4_8_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,1007225646,1,4,8,4,basic-multirow_both,4_8_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,1006786376,1,4,8,4,basic-multirow_both,4_8_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,1006684082,1,4,8,4,basic-multirow_both,4_8_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,1007259460,1,4,8,4,basic-multirow_both,4_8_4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,956813781,1,4,8,8,basic-multirow_both,4_8_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,950655761,1,4,8,8,basic-multirow_both,4_8_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,950493164,1,4,8,8,basic-multirow_both,4_8_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,950106933,1,4,8,8,basic-multirow_both,4_8_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,950898437,1,4,8,8,basic-multirow_both,4_8_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,950323913,1,4,8,8,basic-multirow_both,4_8_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,951100280,1,4,8,8,basic-multirow_both,4_8_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,950503234,1,4,8,8,basic-multirow_both,4_8_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,950809448,1,4,8,8,basic-multirow_both,4_8_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,950772583,1,4,8,8,basic-multirow_both,4_8_8,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,3989693603,1,8,1,1,basic-multirow_both,8_1_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,3981801757,1,8,1,1,basic-multirow_both,8_1_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,3981217041,1,8,1,1,basic-multirow_both,8_1_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,3981403320,1,8,1,1,basic-multirow_both,8_1_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,3981473876,1,8,1,1,basic-multirow_both,8_1_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,3981286621,1,8,1,1,basic-multirow_both,8_1_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,3981412597,1,8,1,1,basic-multirow_both,8_1_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,3981287353,1,8,1,1,basic-multirow_both,8_1_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,3981030517,1,8,1,1,basic-multirow_both,8_1_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
9,3981312011,1,8,1,1,basic-multirow_both,8_1_1,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
0,4068193359,1,8,1,2,basic-multirow_both,8_1_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
1,4062466064,1,8,1,2,basic-multirow_both,8_1_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
2,4062174316,1,8,1,2,basic-multirow_both,8_1_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
3,4062245849,1,8,1,2,basic-multirow_both,8_1_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
4,4062451904,1,8,1,2,basic-multirow_both,8_1_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
5,4062268554,1,8,1,2,basic-multirow_both,8_1_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
6,4062180419,1,8,1,2,basic-multirow_both,8_1_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
7,4062206054,1,8,1,2,basic-multirow_both,8_1_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
8,4062320800,1,8,1,2,basic-multirow_both,8_1_2,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one_saturated
