,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,200553,7690,4,2,rectangle,basic-work_distribution,4_2_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,199440,7770,4,2,triangle,basic-work_distribution,4_2_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,203853,7420,4,4,rectangle,basic-work_distribution,4_4_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,201366,7546,4,4,triangle,basic-work_distribution,4_4_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,215669,6942,4,8,rectangle,basic-work_distribution,4_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,211421,7101,4,8,triangle,basic-work_distribution,4_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,238428,6290,4,16,rectangle,basic-work_distribution,4_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,233873,6404,4,16,triangle,basic-work_distribution,4_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,205296,7652,8,1,rectangle,basic-work_distribution,8_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,203793,7791,8,1,triangle,basic-work_distribution,8_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,201573,7626,8,2,rectangle,basic-work_distribution,8_2_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,200320,7677,8,2,triangle,basic-work_distribution,8_2_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,206398,7315,8,4,rectangle,basic-work_distribution,8_4_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,204623,7412,8,4,triangle,basic-work_distribution,8_4_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,223310,6731,8,8,rectangle,basic-work_distribution,8_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,218674,6859,8,8,triangle,basic-work_distribution,8_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,253177,5909,8,16,rectangle,basic-work_distribution,8_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,245270,6149,8,16,triangle,basic-work_distribution,8_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,935551,1670,4,1,rectangle,basic-work_distribution,4_1_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
