,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,97005,1544,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
2,96969,1542,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
3,96964,1543,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
4,96969,1544,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
5,99333,1544,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
6,99479,1504,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
7,98717,1504,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
8,97494,1524,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
9,96905,1533,16,warp-per-shift-simple-indexing,16,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,100811,1512,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
1,102219,1468,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
2,102116,1468,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
3,101941,1467,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
4,101930,1467,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
5,103540,1469,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
6,105041,1431,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
7,103002,1440,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
8,102404,1458,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
9,102374,1459,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,287044,575,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
1,291875,518,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
2,292011,519,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
3,293124,520,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
4,302154,521,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
5,311423,483,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
6,309970,489,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
7,297943,504,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
8,294475,516,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
9,299589,509,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,284278,562,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
1,288899,522,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
2,288531,520,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
3,288531,520,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
4,292311,521,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
