,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,285922,525,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
6,285891,525,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
7,285875,525,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
8,285920,525,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
9,285932,525,32,warp-per-shift-simple-indexing,32,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,772080,195,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
1,771958,194,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
2,771912,195,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
3,771948,195,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
4,771859,195,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
5,771969,195,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
6,771985,195,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
7,772095,195,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
8,772012,195,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
9,771980,195,4,warp-per-shift-simple-indexing,4,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,776482,194,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
1,776276,194,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
2,776466,194,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
3,776366,194,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
4,776323,194,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
5,776366,194,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
6,776287,194,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
7,776271,194,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
8,776197,194,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
9,776371,194,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,781706,192,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
1,781962,192,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
2,781855,192,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
3,781711,192,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
4,781786,192,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
5,781829,192,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
6,782234,192,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
7,781589,192,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
8,781733,192,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
