,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,69048,21638,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,71609,20880,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,386377,3879,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,391869,3793,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,92973,16100,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,95177,15729,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,71354,20938,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,74352,20115,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,64_64_1_1,8192,64,64,4096,1,1,1x1,one_to_one
0,1260503,1187,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,1556532,959,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,1203811,1245,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,363254,4106,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,341235,4384,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,276511,5437,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,277388,5388,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,1252620,1194,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
