,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
4,1466561,1065,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1461767,1066,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1467382,1067,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1450566,1082,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1469019,1060,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1426827,1109,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1196805,1411,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1258354,1251,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1268910,1239,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1280966,1243,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1288932,1223,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1303656,1203,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1303699,1195,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1303671,1203,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1302403,1219,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1323227,1191,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1150736,1472,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1176781,1347,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1276252,1250,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1280468,1232,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1280462,1235,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1280514,1241,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
