,Forward FFT,Forward FFT_iterations,Hadamard,Hadamard_iterations,Inverse FFT,Inverse FFT_iterations,Allocation,Allocation_iterations,Plan,Plan_iterations,hadamard_threads_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
19,10170,15443,2478,60516,9567,16421,253966,1,5307389,1,256,fft,,128_128_1_2,49152,128,128,16384,1,2,1x2,one_to_many
0,12769,10000,8090,18544,12262,10000,192518,1,7662758,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
1,12770,10000,8090,18546,12259,10000,194450,1,108260067,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
2,12773,10000,8093,18540,12279,10000,193596,1,5832368,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
3,12772,10000,8092,18542,12261,10000,181935,1,6535472,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
4,12774,10000,8092,18539,12268,10000,182673,1,4448009,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
5,12772,10000,8091,18543,12255,10000,180661,1,5338104,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
6,12776,10000,8089,18542,12269,10000,188312,1,5183044,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
7,12771,10000,8092,18542,12269,10000,183740,1,5507164,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
8,12775,10000,8090,18546,12256,10000,180184,1,5843998,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
9,12771,10000,8091,18536,12258,10000,179849,1,5528572,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
10,12775,10000,8092,18536,12256,10000,180544,1,4922799,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
11,12769,10000,8091,18542,12269,10000,180789,1,5364881,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
12,12774,10000,8091,18542,12248,10000,183895,1,5836512,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
13,12770,10000,8091,18538,12275,10000,181338,1,5269383,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
14,12773,10000,8091,18537,12267,10000,183122,1,4768014,1,256,fft,,64_64_1_32,135168,64,64,4096,1,32,1x32,one_to_many
