,Kernel,Kernel_iterations,shifts_per_thread_block,shared_mem_row_size,shared_mem_rows,strided_load,column_group_per_block,right_matrices_per_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,12347,121403,16,128,16,0,1,4,warp-per-shift-shared-memory,16_128_False_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10714,140015,16,128,16,1,0,1,warp-per-shift-shared-memory,16_128_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8242,182123,16,128,16,1,0,2,warp-per-shift-shared-memory,16_128_True_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8670,173146,16,128,16,1,0,4,warp-per-shift-shared-memory,16_128_True_False_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12676,118264,16,128,16,1,1,1,warp-per-shift-shared-memory,16_128_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10235,146497,16,128,16,1,1,2,warp-per-shift-shared-memory,16_128_True_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10593,141601,16,128,16,1,1,4,warp-per-shift-shared-memory,16_128_True_True_4,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13801,108686,16,256,16,0,0,1,warp-per-shift-shared-memory,16_256_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15960,80762,16,256,16,0,1,1,warp-per-shift-shared-memory,16_256_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10719,139913,16,256,16,1,0,1,warp-per-shift-shared-memory,16_256_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12739,117695,16,256,16,1,1,1,warp-per-shift-shared-memory,16_256_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15569,96329,32,32,32,0,0,1,warp-per-shift-shared-memory,32_32_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10638,140954,32,32,32,0,0,2,warp-per-shift-shared-memory,32_32_False_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17522,85595,32,32,32,0,1,1,warp-per-shift-shared-memory,32_32_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12600,119038,32,32,32,0,1,2,warp-per-shift-shared-memory,32_32_False_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12073,124250,32,32,32,1,0,1,warp-per-shift-shared-memory,32_32_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8669,173089,32,32,32,1,0,2,warp-per-shift-shared-memory,32_32_True_False_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,14027,106948,32,32,32,1,1,1,warp-per-shift-shared-memory,32_32_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,10728,139704,32,32,32,1,1,2,warp-per-shift-shared-memory,32_32_True_True_2,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,15568,96368,32,128,32,0,0,1,warp-per-shift-shared-memory,32_128_False_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,17768,71658,32,128,32,0,1,1,warp-per-shift-shared-memory,32_128_False_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,12087,124070,32,128,32,1,0,1,warp-per-shift-shared-memory,32_128_True_False_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13988,107176,32,128,32,1,1,1,warp-per-shift-shared-memory,32_128_True_True_1,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22845,65551,8,32,8,0,0,1,warp-per-shift-shared-memory,8_32_False_False_1,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,16246,92250,8,32,8,0,0,2,warp-per-shift-shared-memory,8_32_False_False_2,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,21696,69141,8,32,8,0,0,4,warp-per-shift-shared-memory,8_32_False_False_4,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,21755,68935,8,32,8,0,0,8,warp-per-shift-shared-memory,8_32_False_False_8,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
