,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
8,450982355,1,4,2,1,2,1,multimat-right-multirow-both,4_1_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
9,450796242,1,4,2,1,2,1,multimat-right-multirow-both,4_1_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
0,423135301,1,4,2,1,4,1,multimat-right-multirow-both,4_1_2_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
1,417973235,1,4,2,1,4,1,multimat-right-multirow-both,4_1_2_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
2,417985283,1,4,2,1,4,1,multimat-right-multirow-both,4_1_2_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
3,418145526,1,4,2,1,4,1,multimat-right-multirow-both,4_1_2_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
4,418018463,1,4,2,1,4,1,multimat-right-multirow-both,4_1_2_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
5,418268963,1,4,2,1,4,1,multimat-right-multirow-both,4_1_2_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
6,418490758,1,4,2,1,4,1,multimat-right-multirow-both,4_1_2_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
7,418419750,1,4,2,1,4,1,multimat-right-multirow-both,4_1_2_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
8,418441453,1,4,2,1,4,1,multimat-right-multirow-both,4_1_2_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
9,418812766,1,4,2,1,4,1,multimat-right-multirow-both,4_1_2_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
0,416956986,1,4,4,1,1,1,multimat-right-multirow-both,4_1_4_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
1,413206057,1,4,4,1,1,1,multimat-right-multirow-both,4_1_4_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
2,412327016,1,4,4,1,1,1,multimat-right-multirow-both,4_1_4_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
3,409921374,1,4,4,1,1,1,multimat-right-multirow-both,4_1_4_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
4,411259379,1,4,4,1,1,1,multimat-right-multirow-both,4_1_4_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
5,411127930,1,4,4,1,1,1,multimat-right-multirow-both,4_1_4_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
6,411075230,1,4,4,1,1,1,multimat-right-multirow-both,4_1_4_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
7,411808701,1,4,4,1,1,1,multimat-right-multirow-both,4_1_4_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
8,413405639,1,4,4,1,1,1,multimat-right-multirow-both,4_1_4_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
9,411171827,1,4,4,1,1,1,multimat-right-multirow-both,4_1_4_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
0,316324599,1,4,4,1,2,1,multimat-right-multirow-both,4_1_4_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
1,311870545,1,4,4,1,2,1,multimat-right-multirow-both,4_1_4_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
2,311521737,1,4,4,1,2,1,multimat-right-multirow-both,4_1_4_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
3,311978268,1,4,4,1,2,1,multimat-right-multirow-both,4_1_4_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
4,311615779,1,4,4,1,2,1,multimat-right-multirow-both,4_1_4_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
5,311910886,1,4,4,1,2,1,multimat-right-multirow-both,4_1_4_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
6,311730102,1,4,4,1,2,1,multimat-right-multirow-both,4_1_4_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
7,312870880,1,4,4,1,2,1,multimat-right-multirow-both,4_1_4_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
8,312981928,1,4,4,1,2,1,multimat-right-multirow-both,4_1_4_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
9,311976134,1,4,4,1,2,1,multimat-right-multirow-both,4_1_4_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
0,273614348,1,4,4,1,4,1,multimat-right-multirow-both,4_1_4_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
1,268315675,1,4,4,1,4,1,multimat-right-multirow-both,4_1_4_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
2,268190826,1,4,4,1,4,1,multimat-right-multirow-both,4_1_4_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
3,268165528,1,4,4,1,4,1,multimat-right-multirow-both,4_1_4_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
4,268352130,1,4,4,1,4,1,multimat-right-multirow-both,4_1_4_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
5,268555048,1,4,4,1,4,1,multimat-right-multirow-both,4_1_4_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
6,269711209,1,4,4,1,4,1,multimat-right-multirow-both,4_1_4_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
7,268765276,1,4,4,1,4,1,multimat-right-multirow-both,4_1_4_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
8,268068932,1,4,4,1,4,1,multimat-right-multirow-both,4_1_4_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
9,268223495,1,4,4,1,4,1,multimat-right-multirow-both,4_1_4_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
0,517630901,1,4,1,2,1,1,multimat-right-multirow-both,4_2_1_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
1,513541678,1,4,1,2,1,1,multimat-right-multirow-both,4_2_1_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
2,514764049,1,4,1,2,1,1,multimat-right-multirow-both,4_2_1_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
3,514634554,1,4,1,2,1,1,multimat-right-multirow-both,4_2_1_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
4,514867777,1,4,1,2,1,1,multimat-right-multirow-both,4_2_1_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
5,514575705,1,4,1,2,1,1,multimat-right-multirow-both,4_2_1_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
6,514776188,1,4,1,2,1,1,multimat-right-multirow-both,4_2_1_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
7,515265128,1,4,1,2,1,1,multimat-right-multirow-both,4_2_1_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
8,515613496,1,4,1,2,1,1,multimat-right-multirow-both,4_2_1_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
9,515268003,1,4,1,2,1,1,multimat-right-multirow-both,4_2_1_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
0,509301839,1,4,1,2,2,1,multimat-right-multirow-both,4_2_1_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
1,502734475,1,4,1,2,2,1,multimat-right-multirow-both,4_2_1_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
2,504032500,1,4,1,2,2,1,multimat-right-multirow-both,4_2_1_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
3,503938708,1,4,1,2,2,1,multimat-right-multirow-both,4_2_1_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
4,504188687,1,4,1,2,2,1,multimat-right-multirow-both,4_2_1_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
5,504559538,1,4,1,2,2,1,multimat-right-multirow-both,4_2_1_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
6,504427568,1,4,1,2,2,1,multimat-right-multirow-both,4_2_1_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
7,504353106,1,4,1,2,2,1,multimat-right-multirow-both,4_2_1_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
8,504413257,1,4,1,2,2,1,multimat-right-multirow-both,4_2_1_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
9,504334177,1,4,1,2,2,1,multimat-right-multirow-both,4_2_1_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
0,503799977,1,4,1,2,4,1,multimat-right-multirow-both,4_2_1_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
1,498253529,1,4,1,2,4,1,multimat-right-multirow-both,4_2_1_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
2,498647175,1,4,1,2,4,1,multimat-right-multirow-both,4_2_1_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
3,498786286,1,4,1,2,4,1,multimat-right-multirow-both,4_2_1_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
4,498554464,1,4,1,2,4,1,multimat-right-multirow-both,4_2_1_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
